lotID,name,deleted,winner,dateCreated,players,key,dateEnded,HasRatingChangedDueToResult,wlnetGameID
5649391675244544,Deadman's ladder : master of desaster vs...,False,5741031244955648,2015-03-14T22:45:00,"[5741031244955648L, 5659313586569216L]",5757715179634688,2015-03-14T23:05:03,True,8249957
5649391675244544,Deadman's ladder : The Turtle vs Forbidd...,False,6273189772525568,2015-03-12T16:42:59,"[5631986051842048L, 6273189772525568L]",5762637883244544,2015-03-12T17:03:02,True,8232811
5649391675244544,Deadman's ladder : DanWL vs Renegade...,False,5189804673204224,2015-03-10T16:08:50,"[5697423099822080L, 5189804673204224L]",5765606242516992,2015-03-10T16:48:59,True,8218201
5649391675244544,Deadman's ladder : 125ch209 vs Beren Erc...,False,6280221439295488,2015-03-08T18:46:23,"[6280221439295488L, 5142291060621312L]",5920749856489472,2015-03-08T19:36:33,True,8205152
5649391675244544,Deadman's ladder : Jefferspin vs TBest...,False,5760820306771968,2015-03-08T16:05:43,"[5700305828184064L, 5760820306771968L]",5934261286731776,2015-03-08T16:35:47,True,8204185
5649391675244544,Deadman's ladder : master of desaster vs...,True,6280221439295488,2015-03-08T15:05:22,"[5741031244955648L, 6280221439295488L]",5942455815897088,,True,8203811
5649391675244544,Deadman's ladder : Master of the Dead vs...,False,6295518502191104,2015-03-03T06:26:46,"[5639445604728832L, 6295518502191104L]",5989177275449344,2015-03-03T06:53:40,True,8167305
5649391675244544,Deadman's ladder : Master of the Dead vs...,False,5659313586569216,2015-02-28T23:27:49,"[5639445604728832L, 5659313586569216L]",6197422522892288,2015-02-28T23:50:20,True,8151304
5649391675244544,Deadman's ladder : The Dark Knight vs sl...,True,6295518502191104,2015-03-07T18:51:04,"[6295518502191104L, 5089836356599808L]",6202224833200128,,True,8198160
5649391675244544,Deadman's ladder : Master of the Dead vs...,False,5639445604728832,2015-02-28T23:07:50,"[5639445604728832L, 5634472569470976L]",6202395558150144,2015-02-28T23:27:47,True,8151177
5649391675244544,Deadman's ladder : Arkanton vs Master of...,False,5639445604728832,2015-03-04T07:54:46,"[5105650963054592L, 5639445604728832L]",6211504244260864,2015-03-04T08:54:18,True,8174333
5649391675244544,Deadman's ladder : Master of the Dead vs...,False,5639445604728832,2015-03-08T13:14:55,"[5639445604728832L, 6227198725849088L]",6215736263442432,2015-03-08T13:34:57,True,8203216
5649391675244544,Deadman's ladder : somenewguy vs Muten R...,False,5722646637445120,2015-03-04T19:58:14,"[6295518502191104L, 5722646637445120L]",6217263929622528,2015-03-04T20:28:16,True,8178172
5649391675244544,Deadman's ladder : somenewguy vs Darkpie...,False,6295518502191104,2015-03-04T12:27:21,"[6295518502191104L, 5644406560391168L]",6235699271434240,2015-03-04T12:47:22,True,8175330
5649391675244544,Deadman's ladder : The Turtle vs Beren E...,True,5631986051842048,2015-03-11T00:21:23,"[5631986051842048L, 5142291060621312L]",6239780027236352,,True,8221477
5649391675244544,Deadman's ladder : somenewguy vs The Tur...,False,6295518502191104,2015-03-03T18:28:31,"[6295518502191104L, 5631986051842048L]",6245567495667712,2015-03-03T18:48:32,True,8170637
5649391675244544,Deadman's ladder : somenewguy vs Dom365...,False,5920920581439488,2015-03-04T16:37:48,"[6295518502191104L, 5920920581439488L]",6250489796624384,2015-03-04T16:57:49,True,8176800
5649391675244544,Deadman's ladder : The Dark Knight vs sl...,False,6295518502191104,2015-03-07T18:51:06,"[6295518502191104L, 5089836356599808L]",6262207541149696,2015-03-07T19:21:11,True,8198161
5649391675244544,Deadman's ladder : Muten Rōshi vs Darkpi...,False,5722646637445120,2015-03-04T17:37:54,"[5722646637445120L, 5644406560391168L]",6263255781605376,2015-03-04T18:08:01,True,8177220
5649391675244544,Deadman's ladder : master of desaster vs...,False,5657382461898752,2015-03-07T20:31:28,"[5741031244955648L, 5657382461898752L]",6282187997446144,2015-03-07T21:11:34,True,8198939
5649391675244544,Deadman's ladder : Arkanton vs master of...,True,5105650963054592,2015-03-05T11:20:09,"[5105650963054592L, 5741031244955648L]",6283097188335616,,True,8181996
5649391675244544,Deadman's ladder : somenewguy vs Arkanto...,False,6295518502191104,2015-03-04T12:47:24,"[6295518502191104L, 5105650963054592L]",6287110566838272,2015-03-04T13:07:25,True,8175415
5649391675244544,Deadman's ladder : The Turtle vs DanWL...,False,5631986051842048,2015-03-10T15:28:37,"[5631986051842048L, 5697423099822080L]",6288057741344768,2015-03-10T15:48:42,True,8217962
5649391675244544,Deadman's ladder : Krzychu vs The Turtle...,True,5631986051842048,2015-03-09T22:13:20,"[5076495651307520L, 5631986051842048L]",6293031984562176,,True,8213859
